vulnerability_name,file_path,severity,cwe,owasp,line_number,references
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,../juice-shop/data/static/codefixes/dbSchemaChallenge_1.ts,ERROR,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"A01:2017 - Injection, A03:2021 - Injection, A05:2025 - Injection",5,"https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements, https://sg.run/gjoe"
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,../juice-shop/data/static/codefixes/dbSchemaChallenge_3.ts,ERROR,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"A01:2017 - Injection, A03:2021 - Injection, A05:2025 - Injection",11,"https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements, https://sg.run/gjoe"
javascript.audit.detect-replaceall-sanitization.detect-replaceall-sanitization,../juice-shop/data/static/codefixes/restfulXssChallenge_2.ts,INFO,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"A07:2017 - Cross-Site Scripting (XSS), A03:2021 - Injection, A05:2025 - Injection",49,"https://www.npmjs.com/package/dompurify, https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html, https://sg.run/AzoB"
javascript.audit.detect-replaceall-sanitization.detect-replaceall-sanitization,../juice-shop/data/static/codefixes/restfulXssChallenge_2.ts,INFO,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"A07:2017 - Cross-Site Scripting (XSS), A03:2021 - Injection, A05:2025 - Injection",49,"https://www.npmjs.com/package/dompurify, https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html, https://sg.run/AzoB"
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,../juice-shop/data/static/codefixes/unionSqlInjectionChallenge_1.ts,ERROR,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"A01:2017 - Injection, A03:2021 - Injection, A05:2025 - Injection",6,"https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements, https://sg.run/gjoe"
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,../juice-shop/data/static/codefixes/unionSqlInjectionChallenge_3.ts,ERROR,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"A01:2017 - Injection, A03:2021 - Injection, A05:2025 - Injection",10,"https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements, https://sg.run/gjoe"
generic.secrets.security.detected-generic-secret.detected-generic-secret,../juice-shop/data/static/users.yml,ERROR,CWE-798: Use of Hard-coded Credentials,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",151,"https://owasp.org/Top10/A07_2021-Identification_and_Authentication_Failures, https://sg.run/l2o5"
generic.secrets.security.detected-jwt-token.detected-jwt-token,../juice-shop/frontend/src/app/app.guard.spec.ts,ERROR,CWE-321: Use of Hard-coded Cryptographic Key,"A02:2021 - Cryptographic Failures, A04:2025 - Cryptographic Failures",38,"https://semgrep.dev/blog/2020/hardcoded-secrets-unverified-tokens-and-other-common-jwt-mistakes/, https://sg.run/05N5"
generic.secrets.security.detected-jwt-token.detected-jwt-token,../juice-shop/frontend/src/app/last-login-ip/last-login-ip.component.spec.ts,ERROR,CWE-321: Use of Hard-coded Cryptographic Key,"A02:2021 - Cryptographic Failures, A04:2025 - Cryptographic Failures",61,"https://semgrep.dev/blog/2020/hardcoded-secrets-unverified-tokens-and-other-common-jwt-mistakes/, https://sg.run/05N5"
generic.secrets.security.detected-jwt-token.detected-jwt-token,../juice-shop/frontend/src/app/last-login-ip/last-login-ip.component.spec.ts,ERROR,CWE-321: Use of Hard-coded Cryptographic Key,"A02:2021 - Cryptographic Failures, A04:2025 - Cryptographic Failures",67,"https://semgrep.dev/blog/2020/hardcoded-secrets-unverified-tokens-and-other-common-jwt-mistakes/, https://sg.run/05N5"
javascript.browser.security.insecure-document-method.insecure-document-method,../juice-shop/frontend/src/assets/private/three.js,ERROR,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"A07:2017 - Cross-Site Scripting (XSS), A03:2021 - Injection, A05:2025 - Injection",11375,"https://owasp.org/Top10/A03_2021-Injection, https://sg.run/LwA9"
javascript.lang.security.audit.prototype-pollution.prototype-pollution-loop.prototype-pollution-loop,../juice-shop/frontend/src/hacking-instructor/helpers/helpers.ts,WARNING,CWE-915: Improperly Controlled Modification of Dynamically-Determined Object Attributes,"A08:2021 - Software and Data Integrity Failures, A08:2025 - Software or Data Integrity Failures",49,"https://github.com/HoLyVieR/prototype-pollution-nsec18/blob/master/paper/JavaScript_prototype_pollution_attack_in_NodeJS.pdf, https://sg.run/w1DB"
javascript.browser.security.insecure-document-method.insecure-document-method,../juice-shop/frontend/src/hacking-instructor/index.ts,ERROR,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"A07:2017 - Cross-Site Scripting (XSS), A03:2021 - Injection, A05:2025 - Injection",126,"https://owasp.org/Top10/A03_2021-Injection, https://sg.run/LwA9"
javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,../juice-shop/lib/codingChallenges.ts,WARNING,CWE-1333: Inefficient Regular Expression Complexity,"A05:2021 - Security Misconfiguration, A06:2017 - Security Misconfiguration, A02:2025 - Security Misconfiguration",76,"https://owasp.org/www-community/attacks/Regular_expression_Denial_of_Service_-_ReDoS, https://sg.run/gr65"
javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,../juice-shop/lib/codingChallenges.ts,WARNING,CWE-1333: Inefficient Regular Expression Complexity,"A05:2021 - Security Misconfiguration, A06:2017 - Security Misconfiguration, A02:2025 - Security Misconfiguration",78,"https://owasp.org/www-community/attacks/Regular_expression_Denial_of_Service_-_ReDoS, https://sg.run/gr65"
